Taxpayer Type,Tax Year,Transaction Date,Income Source,Deduction Type,State,Income,Deductions,Taxable Income,Tax Rate,Tax Owed
Corporation,2019,2019-10-24,Capital Gains,Business Expenses,OH,563063.19,124510.81,438552.37999999995,0.32549963150473005,142748.64
Partnership,2019,2019-07-19,Business Income,Medical Expenses,PA,730231.27,107251.71,622979.56,0.3413652530158793,212663.58
Non-Profit,2023,2023-01-30,Rental,Medical Expenses,GA,525375.0,136063.77,389311.23,0.15452709500992493,60159.13
Partnership,2021,2021-03-06,Rental,Mortgage Interest,NY,90093.99,24987.1,65106.89000000001,0.36171572084562365,23550.19
Non-Profit,2022,2022-06-02,Business Income,Medical Expenses,IL,146688.88,18648.22,128040.66,0.2572834723996282,32942.75
Corporation,2019,2019-06-14,Investment,Medical Expenses,NY,78876.64,19702.91,59173.729999999996,0.14500022204413512,8580.2
Non-Profit,2019,2019-03-21,Investment,Mortgage Interest,NY,733314.54,206568.24,526746.3,0.2923563197040717,153997.61
Corporation,2022,2022-12-21,Investment,Mortgage Interest,FL,165213.84,45165.94,120047.9,0.253319697398935,30410.5
Corporation,2019,2019-05-17,Salary,Business Expenses,OH,408130.0,66983.03,341146.97,0.36193125460073605,123471.75
Trust,2021,2021-09-07,Investment,Mortgage Interest,MI,977501.89,56194.27,921307.62,0.29146303931472695,268527.12
Trust,2021,2021-11-01,Capital Gains,Business Expenses,NY,896466.23,127067.84,769398.39,0.3591634621225195,276339.79
Trust,2022,2022-01-25,Business Income,Medical Expenses,IL,194797.26,47811.32,146985.94,0.19289735903932997,28353.2
Non-Profit,2021,2021-03-27,Rental,Charitable Contributions,IL,418096.38,102954.91,315141.47,0.3187935595119676,100465.07
Trust,2021,2021-01-22,Capital Gains,Education Expenses,CA,46572.59,9051.69,37520.899999999994,0.26355061140241137,9888.66
Trust,2021,2021-06-14,Investment,Mortgage Interest,PA,631799.34,173651.67,458147.6699999999,0.10261215680019922,47011.52
Non-Profit,2020,2020-06-24,Royalties,Education Expenses,CA,128489.22,8146.87,120342.35,0.2265431571620122,27262.74
Trust,2021,2021-10-29,Salary,Medical Expenses,MI,943669.09,87685.29,855983.7999999999,0.3620541023843734,309912.45
Individual,2021,2021-05-20,Capital Gains,Mortgage Interest,CA,57690.99,933.52,56757.47,0.19528833298593476,11084.07
Corporation,2022,2022-11-12,Business Income,Medical Expenses,NC,872448.59,239301.84,633146.75,0.30841468367722547,195271.75
Trust,2021,2021-11-25,Royalties,Mortgage Interest,FL,713294.43,208568.6,504725.8300000001,0.3225836554240288,162816.3
Trust,2019,2019-08-05,Royalties,Charitable Contributions,CA,82974.31,2737.0,80237.31,0.23148825097948322,18573.99
Partnership,2022,2022-08-18,Business Income,Education Expenses,OH,306320.03,2415.32,303904.71,0.13584785646874378,41284.8
Corporation,2020,2020-03-06,Salary,Charitable Contributions,NC,597081.4,44974.35,552107.05,0.12053433423760963,66547.86
Non-Profit,2022,2022-07-18,Business Income,Business Expenses,FL,471809.13,28086.78,443722.35,0.13407422654282966,59491.73
Partnership,2019,2019-08-11,Salary,Medical Expenses,NC,661636.28,111113.54,550522.74,0.25263137277291514,139079.32
Individual,2020,2020-02-15,Capital Gains,Charitable Contributions,NC,107534.92,23208.99,84325.93,0.18062375576462236,15231.27
Non-Profit,2022,2022-02-04,Rental,Mortgage Interest,NY,131284.91,7517.17,123767.74,0.1285987366842461,15916.38
Trust,2021,2021-02-18,Business Income,Charitable Contributions,OH,856484.8,208076.15,648408.65,0.18462542291627887,119712.72
Corporation,2021,2021-12-25,Business Income,Mortgage Interest,MI,401952.98,35969.45,365983.52999999997,0.3425918833688117,125382.99
Partnership,2019,2019-02-15,Investment,Mortgage Interest,PA,574361.29,163619.94,410741.35000000003,0.3392273061266814,139334.68
Individual,2021,2021-09-30,Capital Gains,Charitable Contributions,PA,298225.68,41238.69,256986.99,0.3468764285662922,89142.73
Non-Profit,2019,2019-05-30,Rental,Medical Expenses,NC,652305.35,175461.22,476844.13,0.2311616164097826,110228.06
Non-Profit,2019,2019-10-07,Business Income,Education Expenses,NY,859657.9,55121.58,804536.3200000001,0.12203651681690149,98182.81
Trust,2020,2020-03-12,Royalties,Education Expenses,PA,505077.35,31065.23,474012.12,0.11040755328065284,52334.52
Trust,2022,2022-02-19,Capital Gains,Charitable Contributions,PA,45689.44,10975.73,34713.71000000001,0.11605348095020124,4028.65
Corporation,2021,2021-01-17,Business Income,Business Expenses,PA,96667.68,26399.14,70268.54,0.3618472581772423,25426.48
Non-Profit,2022,2022-10-19,Salary,Business Expenses,IL,109879.5,21888.17,87991.33,0.19861627623575667,17476.51
Non-Profit,2021,2021-01-23,Rental,Education Expenses,NY,21337.05,237.05,21100.0,0.17853713610456867,3767.13
Non-Profit,2021,2021-11-13,Capital Gains,Education Expenses,IL,369588.32,5257.95,364330.37,0.2813941880584176,102520.45
Trust,2019,2019-03-11,Capital Gains,Mortgage Interest,PA,714570.06,129914.03,584656.03,0.30669815934618927,179312.93
Partnership,2022,2022-03-29,Rental,Business Expenses,OH,230358.84,8489.61,221869.22999999998,0.28009746158787885,62145.01
Corporation,2022,2022-06-13,Investment,Mortgage Interest,GA,39771.54,2940.69,36830.85,0.18614117758740586,6855.74
Individual,2021,2021-11-06,Capital Gains,Charitable Contributions,CA,944470.74,47340.7,897130.04,0.19090129358573055,171263.29
Partnership,2019,2019-05-25,Capital Gains,Education Expenses,NC,553919.25,95238.77,458680.48,0.2792778327014287,128099.29
Non-Profit,2019,2019-08-29,Rental,Mortgage Interest,CA,298614.22,19019.0,279595.22,0.36823038087339865,102955.45
Individual,2019,2019-05-17,Capital Gains,Education Expenses,PA,974605.11,167752.6,806852.51,0.1682170224419237,135726.33
Non-Profit,2021,2021-05-24,Business Income,Mortgage Interest,CA,340523.39,97356.81,243166.58000000002,0.3046720842812317,74086.07
Trust,2020,2020-03-04,Royalties,Medical Expenses,CA,782710.63,225988.0,556722.63,0.34412303566356006,191581.08
Non-Profit,2023,2023-03-05,Investment,Mortgage Interest,NC,585280.44,147964.03,437316.4099999999,0.11143728184690499,48733.35
Individual,2020,2020-02-07,Royalties,Charitable Contributions,OH,118940.04,3706.9,115233.14,0.35505142349783303,40913.69
Trust,2020,2020-02-07,Royalties,Education Expenses,GA,549242.29,75343.41,473898.88,0.3318150646210878,157246.79
Non-Profit,2020,2020-02-06,Rental,Charitable Contributions,CA,262694.03,4293.05,258400.98000000004,0.36440972826461593,94163.83
Corporation,2021,2021-08-25,Rental,Medical Expenses,CA,223991.87,10669.41,213322.46,0.23637290363199026,50423.65
Partnership,2023,2023-03-09,Investment,Education Expenses,IL,51895.32,14678.49,37216.83,0.36056583892481964,13419.12
Non-Profit,2019,2019-01-31,Royalties,Education Expenses,NY,105389.11,26396.0,78993.11,0.2858875007324105,22583.14
Partnership,2022,2022-10-15,Royalties,Medical Expenses,FL,23334.52,6357.93,16976.59,0.34444400241270323,5847.48
Partnership,2019,2019-03-07,Business Income,Charitable Contributions,GA,209827.48,5415.09,204412.39,0.19205545263934493,39258.51
Non-Profit,2021,2021-07-14,Royalties,Mortgage Interest,PA,216228.85,34332.41,181896.44,0.2552567978238789,46430.3
Non-Profit,2021,2021-07-22,Royalties,Education Expenses,GA,105426.46,28785.33,76641.13,0.1380986168292604,10584.03
Partnership,2023,2023-07-14,Royalties,Charitable Contributions,OH,135125.07,32489.71,102635.36000000002,0.23927511495525475,24558.09
Trust,2020,2020-07-03,Capital Gains,Mortgage Interest,NC,471975.48,90679.9,381295.57999999996,0.3115352993502395,118787.03
Non-Profit,2019,2019-06-23,Business Income,Mortgage Interest,TX,81622.69,1365.2,80257.49,0.256931529076351,20620.68
Non-Profit,2023,2023-05-07,Salary,Business Expenses,NY,267969.26,28256.07,239713.19,0.361671212525038,86697.36
Partnership,2019,2019-02-10,Investment,Business Expenses,CA,389879.62,71669.31,318210.31,0.30429838628235883,96830.88
Trust,2021,2021-09-20,Royalties,Business Expenses,OH,288993.87,85187.19,203806.68,0.1546397754701014,31516.62
Corporation,2023,2023-07-02,Business Income,Charitable Contributions,CA,228097.11,36598.74,191498.37,0.20828615495195435,39886.46
Non-Profit,2022,2022-08-13,Capital Gains,Education Expenses,NY,523942.39,24743.91,499198.48000000004,0.3045556021085971,152033.69
Corporation,2022,2022-09-03,Salary,Mortgage Interest,NC,139611.79,24967.43,114644.36000000002,0.16292498686766824,18678.43
Trust,2019,2019-07-22,Salary,Mortgage Interest,NY,400500.91,88361.12,312139.79,0.21995918816307936,68658.01
Trust,2022,2022-03-22,Salary,Medical Expenses,NY,732684.43,45302.27,687382.16,0.30257617327158914,207985.46
Partnership,2021,2021-01-13,Business Income,Medical Expenses,TX,830084.2,193639.25,636444.95,0.2839134285815573,180695.27
Corporation,2022,2022-04-14,Salary,Charitable Contributions,GA,176929.85,44286.11,132643.74,0.24630763951032306,32671.17
Trust,2020,2020-04-28,Rental,Mortgage Interest,TX,313788.87,2685.84,311103.02999999997,0.27715162178009056,86222.71
Partnership,2023,2023-03-13,Business Income,Medical Expenses,TX,970794.62,111678.59,859116.03,0.20851885403020815,179141.89
Non-Profit,2022,2022-04-25,Investment,Mortgage Interest,MI,331465.19,31063.08,300402.11,0.321680554901571,96633.52
Partnership,2023,2023-10-03,Royalties,Education Expenses,TX,264457.36,33207.15,231250.21,0.12619647491553684,29182.96
Corporation,2020,2020-10-30,Rental,Mortgage Interest,OH,55429.88,16162.61,39267.27,0.18908680214165574,7424.92
Trust,2022,2022-04-17,Capital Gains,Medical Expenses,GA,532725.83,100611.16,432114.6699999999,0.2623212854066838,113352.88
Non-Profit,2021,2021-11-15,Capital Gains,Mortgage Interest,NY,588984.96,102413.19,486571.76999999996,0.2079509704348228,101183.07
Non-Profit,2019,2019-01-20,Business Income,Charitable Contributions,IL,491899.18,128663.54,363235.64,0.27658277281214383,100464.72
Trust,2023,2023-08-27,Investment,Charitable Contributions,CA,43520.81,11557.94,31962.869999999995,0.14457562980201005,4621.05
Partnership,2021,2021-01-01,Investment,Education Expenses,OH,29396.4,3882.7,25513.7,0.28348061312798417,7232.64
Non-Profit,2021,2021-06-04,Salary,Charitable Contributions,OH,647379.53,37082.43,610297.1,0.30403311989748616,185550.53
Corporation,2019,2019-11-25,Salary,Business Expenses,NY,775296.23,119699.12,655597.11,0.3397527503227512,222740.92
Corporation,2019,2019-04-16,Investment,Medical Expenses,CA,808543.03,143407.78,665135.25,0.10698736435108341,71161.07
Corporation,2022,2022-08-18,Capital Gains,Charitable Contributions,OH,778458.73,190788.74,587669.99,0.2704572260565279,158939.6
Corporation,2019,2019-03-06,Business Income,Charitable Contributions,NC,844521.02,125294.48,719226.54,0.17712041615660531,127389.7
Trust,2020,2020-08-22,Salary,Charitable Contributions,NC,959217.16,105842.34,853374.8200000001,0.3121932137028185,266417.83
Individual,2022,2022-05-28,Rental,Medical Expenses,PA,261808.84,34839.42,226969.41999999998,0.31914765312614396,72436.76
Non-Profit,2023,2023-11-10,Business Income,Charitable Contributions,OH,896466.17,176125.61,720340.56,0.30239517420390694,217827.51
Non-Profit,2019,2019-08-25,Capital Gains,Education Expenses,NC,346995.69,53630.78,293364.91000000003,0.28277070940676874,82955.0
Trust,2021,2021-01-29,Royalties,Business Expenses,TX,581374.96,43126.05,538248.9099999999,0.18044281895567518,97123.15
Individual,2021,2021-05-03,Investment,Business Expenses,IL,243634.75,27653.29,215981.46,0.11637481796832666,25134.8
Non-Profit,2019,2019-10-20,Business Income,Mortgage Interest,TX,617303.75,152397.13,464906.62,0.28516469604558803,132574.95
Individual,2019,2019-02-19,Investment,Education Expenses,FL,607649.99,30265.18,577384.8099999999,0.282029287196491,162839.43
Corporation,2019,2019-12-05,Salary,Mortgage Interest,IL,114568.64,13290.95,101277.69,0.2256670150971267,22855.03
Trust,2019,2019-10-23,Capital Gains,Education Expenses,OH,811589.22,179790.09,631799.13,0.269038640300327,169978.38
Corporation,2019,2019-08-18,Capital Gains,Mortgage Interest,MI,69909.82,9765.65,60144.170000000006,0.30260748077097155,18200.08
Non-Profit,2020,2020-09-07,Rental,Charitable Contributions,OH,689026.57,181847.39,507179.17999999993,0.29945568630052294,151877.69
Trust,2020,2020-12-12,Capital Gains,Charitable Contributions,PA,894061.06,68186.73,825874.3300000001,0.28487340833972985,235269.64
Trust,2019,2019-08-27,Royalties,Charitable Contributions,TX,423904.27,44321.89,379582.38,0.25374251407281523,96316.19
Individual,2023,2023-05-16,Salary,Medical Expenses,PA,837752.36,48626.28,789126.08,0.21185855671489823,167183.11
Trust,2019,2019-04-17,Salary,Mortgage Interest,FL,293511.52,37584.86,255926.66000000003,0.33043221588042815,84566.41
Corporation,2021,2021-07-07,Royalties,Business Expenses,MI,205041.72,59222.07,145819.65,0.2733627859835157,39861.67
Partnership,2020,2020-01-30,Business Income,Education Expenses,OH,175774.11,34271.69,141502.41999999998,0.12520745770646982,17717.16
Individual,2019,2019-10-24,Investment,Business Expenses,FL,262152.33,65116.42,197035.91000000003,0.1737380148058783,34232.63
Non-Profit,2023,2023-10-11,Business Income,Charitable Contributions,GA,292141.78,37285.57,254856.21000000002,0.19262347258189538,49091.29
Trust,2023,2023-08-15,Royalties,Business Expenses,NC,423250.95,81754.83,341496.12,0.1608320566271132,54923.52
Non-Profit,2023,2023-11-23,Capital Gains,Business Expenses,OH,756070.38,168924.2,587146.1799999999,0.10090888895572096,59248.27
Partnership,2021,2021-09-21,Rental,Business Expenses,CA,925031.32,145667.76,779363.5599999999,0.35521738435993555,276843.49
Partnership,2019,2019-03-04,Business Income,Education Expenses,CA,897556.03,168276.86,729279.17,0.2126427584538723,155075.93
Individual,2023,2023-03-15,Rental,Medical Expenses,FL,948844.89,54210.74,894634.15,0.20871689184770903,186725.26
Partnership,2022,2022-05-04,Salary,Charitable Contributions,CA,223123.8,4148.59,218975.21,0.22492351207468758,49252.67
Corporation,2020,2020-03-16,Salary,Charitable Contributions,TX,755825.23,70542.87,685282.36,0.19281100252134903,132129.98
Corporation,2021,2021-09-10,Rental,Mortgage Interest,PA,89847.42,14828.84,75018.58,0.1607540913693089,12059.54
Non-Profit,2019,2019-10-23,Business Income,Business Expenses,NC,252195.46,34183.3,218012.15999999997,0.18648828800395817,40656.71
Individual,2023,2023-01-12,Rental,Business Expenses,NC,62364.18,12962.93,49401.25,0.17491602724051356,8641.07
Corporation,2023,2023-07-19,Salary,Education Expenses,TX,994203.94,252197.99,742005.95,0.3331555260518061,247203.38
Non-Profit,2020,2020-07-29,Capital Gains,Charitable Contributions,OH,115811.67,28011.57,87800.1,0.14674342311020966,12884.09
Corporation,2020,2020-09-26,Business Income,Business Expenses,GA,950257.33,164130.38,786126.95,0.10141851829115227,79727.83
Trust,2023,2023-11-21,Business Income,Business Expenses,TX,428065.53,99058.33,329007.2,0.204705937420282,67349.73
Trust,2022,2022-02-15,Rental,Business Expenses,GA,840878.27,220821.13,620057.14,0.3251353285944058,201602.48
Trust,2019,2019-05-22,Rental,Business Expenses,TX,274314.21,7215.31,267098.9,0.32379294885986,86484.74
Partnership,2021,2021-10-07,Capital Gains,Charitable Contributions,MI,982575.38,282617.42,699957.96,0.12205972300911447,85436.67
Trust,2022,2022-07-24,Salary,Education Expenses,NC,982202.08,131380.46,850821.62,0.2489507208653613,211812.66
Non-Profit,2019,2019-08-12,Salary,Mortgage Interest,NC,565252.77,146634.62,418618.15,0.18898569055487358,79112.84
Corporation,2020,2020-02-16,Capital Gains,Business Expenses,CA,314239.73,47583.1,266656.63,0.3634335484395764,96911.97
Individual,2019,2019-02-21,Capital Gains,Business Expenses,CA,94049.4,3070.73,90978.67,0.23447514445495873,21332.24
Trust,2020,2020-05-27,Capital Gains,Business Expenses,NY,171521.93,13415.18,158106.75,0.13942652796566962,22044.28
Individual,2023,2023-07-27,Salary,Medical Expenses,CA,304920.43,34830.18,270090.25,0.14515625961591838,39205.29
Trust,2021,2021-12-11,Rental,Medical Expenses,PA,197320.13,1561.74,195758.39,0.21917065020700044,42904.49
Corporation,2019,2019-05-06,Rental,Mortgage Interest,IL,436020.2,15564.37,420455.83,0.3250534917314898,136670.64
Partnership,2022,2022-07-18,Investment,Mortgage Interest,IL,539520.5,79027.42,460493.08,0.2170197412279623,99936.09
Individual,2020,2020-08-29,Business Income,Medical Expenses,GA,234492.72,46528.74,187963.98,0.275289708048565,51744.55
Corporation,2019,2019-05-10,Investment,Education Expenses,GA,448670.87,20735.92,427934.95,0.22128553550509322,94695.81
Trust,2020,2020-05-25,Investment,Charitable Contributions,OH,782277.34,132910.3,649367.04,0.27021739156813396,175470.27
Trust,2023,2023-10-08,Capital Gains,Charitable Contributions,GA,781683.56,165997.74,615685.8200000001,0.32234366975936735,198462.43
Partnership,2019,2019-09-16,Business Income,Charitable Contributions,FL,503466.96,56856.2,446610.76,0.3530646488838898,157682.47
Individual,2023,2023-06-22,Business Income,Mortgage Interest,PA,313212.01,6335.32,306876.69,0.19404900567936262,59549.12
Trust,2022,2022-08-25,Capital Gains,Medical Expenses,CA,205544.2,33920.71,171623.49000000002,0.13424663318853491,23039.88
Individual,2019,2019-02-05,Business Income,Charitable Contributions,NY,897035.97,15599.19,881436.78,0.2279734186933943,200944.16
Non-Profit,2021,2021-06-29,Business Income,Mortgage Interest,PA,843215.11,218227.63,624987.48,0.33921192640440245,212003.21
Corporation,2021,2021-04-14,Capital Gains,Business Expenses,NC,346590.47,31076.89,315513.57999999996,0.12852140410240734,40550.25
Non-Profit,2019,2019-08-16,Rental,Business Expenses,IL,380102.9,110346.61,269756.29000000004,0.23038395558733482,62147.52
Non-Profit,2020,2020-07-25,Business Income,Charitable Contributions,FL,23333.39,778.67,22554.72,0.24062867866378823,5427.31
Partnership,2020,2020-12-04,Investment,Charitable Contributions,OH,786756.88,143506.97,643249.91,0.14785248308052257,95106.1
Corporation,2020,2020-03-03,Business Income,Charitable Contributions,FL,189058.73,13670.43,175388.30000000002,0.35047082496643767,61468.48
Partnership,2020,2020-12-14,Rental,Charitable Contributions,GA,917830.31,88344.26,829486.05,0.2958958320014836,245441.46
Non-Profit,2020,2020-10-30,Royalties,Business Expenses,GA,122295.03,5737.61,116557.42,0.1873524380539811,21837.32
Trust,2023,2023-03-23,Salary,Business Expenses,NY,510000.04,39427.83,470572.20999999996,0.31300311853582263,147290.57
Partnership,2020,2020-08-07,Rental,Business Expenses,MI,104982.41,6410.08,98572.33,0.140420272806912,13841.55
Trust,2022,2022-05-06,Capital Gains,Education Expenses,TX,697188.64,14890.55,682298.09,0.16461898424248925,112319.22
Corporation,2023,2023-02-27,Royalties,Education Expenses,OH,417521.72,35266.74,382254.98,0.15013425660167706,57389.57
Individual,2022,2022-11-05,Investment,Charitable Contributions,GA,218798.48,53003.21,165795.27000000002,0.13994856686485369,23202.81
Individual,2019,2019-01-18,Capital Gains,Medical Expenses,GA,75106.43,9389.61,65716.81999999999,0.1375476672345855,9039.2
Non-Profit,2021,2021-01-01,Royalties,Charitable Contributions,PA,794390.64,139591.91,654798.73,0.18342819911376823,120108.55
Partnership,2021,2021-08-09,Rental,Education Expenses,MI,69398.29,17620.08,51778.20999999999,0.3136129251767749,16238.32
Trust,2022,2022-01-21,Rental,Business Expenses,GA,194303.8,30149.96,164153.84,0.23421879320000205,38447.91
Non-Profit,2022,2022-10-16,Business Income,Business Expenses,OH,598084.3,28643.46,569440.8400000001,0.11126889493170533,63361.05
Individual,2022,2022-06-17,Business Income,Charitable Contributions,TX,27400.95,3839.57,23561.38,0.33685281093605945,7936.72
Trust,2022,2022-04-02,Investment,Mortgage Interest,FL,910170.6,229151.19,681019.4099999999,0.3175110055226624,216231.16
Corporation,2021,2021-01-03,Investment,Medical Expenses,GA,838553.53,243239.99,595313.54,0.17946636600626603,106838.76
Partnership,2020,2020-07-18,Royalties,Business Expenses,CA,929885.24,80752.07,849133.1699999999,0.35616199220935385,302428.96
Trust,2020,2020-07-11,Business Income,Charitable Contributions,MI,767063.83,215835.81,551228.02,0.25113364718950504,138431.9
Corporation,2021,2021-09-09,Investment,Business Expenses,FL,387251.12,97891.98,289359.14,0.2871981769655428,83103.42
Corporation,2020,2020-01-06,Capital Gains,Education Expenses,CA,99201.3,3149.73,96051.57,0.19984260063472936,19195.2
Individual,2019,2019-04-11,Capital Gains,Education Expenses,FL,315459.88,17974.79,297485.09,0.2898600494202748,86229.04
Partnership,2020,2020-03-31,Business Income,Mortgage Interest,NC,589569.57,86032.3,503537.26999999996,0.2346983428037459,118179.36
Trust,2019,2019-07-12,Business Income,Mortgage Interest,GA,969079.04,212150.11,756928.93,0.2766743955684158,209422.85
Corporation,2019,2019-09-18,Rental,Education Expenses,CA,523986.35,48673.39,475312.95999999996,0.17106339567832324,81308.65
Trust,2019,2019-03-13,Rental,Medical Expenses,GA,734477.51,188308.07,546169.44,0.23865121252216834,130344.0
Partnership,2021,2021-07-16,Business Income,Medical Expenses,GA,105861.79,31406.68,74455.10999999999,0.1732740248197144,12901.14
Partnership,2020,2020-07-01,Salary,Charitable Contributions,NC,987485.54,184490.26,802995.28,0.14049969288132447,112820.59
Individual,2022,2022-06-14,Royalties,Charitable Contributions,CA,215255.65,42844.79,172410.86,0.331852285972894,57214.94
Non-Profit,2023,2023-05-21,Salary,Charitable Contributions,NY,52646.61,14404.43,38242.18,0.26410489204041554,10099.95
Trust,2020,2020-04-07,Investment,Education Expenses,CA,800644.66,54050.43,746594.23,0.24067421069051256,179685.98
Non-Profit,2021,2021-03-07,Royalties,Charitable Contributions,GA,840186.0,108478.61,731707.39,0.2457404537043403,179810.11
Individual,2022,2022-07-28,Investment,Charitable Contributions,TX,756869.79,11067.98,745801.81,0.1640297462618085,122333.68
Non-Profit,2022,2022-10-27,Royalties,Medical Expenses,NY,718325.83,199730.49,518595.33999999997,0.32436461719678134,168213.98
Corporation,2021,2021-07-20,Royalties,Charitable Contributions,CA,668343.0,102465.49,565877.51,0.36554542017292857,206853.93
Trust,2019,2019-12-16,Capital Gains,Medical Expenses,PA,794173.63,212362.76,581810.87,0.31239793714306285,181756.52
Partnership,2019,2019-09-20,Royalties,Charitable Contributions,CA,693823.59,75763.81,618059.78,0.3029801123376634,187259.82
Non-Profit,2023,2023-05-24,Investment,Education Expenses,MI,636365.18,23183.38,613181.8,0.25703779210271793,157610.9
Trust,2019,2019-11-27,Capital Gains,Medical Expenses,MI,787105.94,42159.08,744946.86,0.22500994946719075,167620.46
Corporation,2020,2020-06-12,Business Income,Mortgage Interest,OH,221690.59,14424.02,207266.57,0.3337632388838211,69177.96
Partnership,2019,2019-10-30,Business Income,Business Expenses,FL,784046.51,43495.5,740551.01,0.1356272224738476,100438.88
Trust,2019,2019-07-30,Royalties,Medical Expenses,PA,179510.78,24806.12,154704.66,0.3608237505071231,55821.12
Corporation,2021,2021-05-24,Salary,Mortgage Interest,MI,59867.26,13034.43,46832.83,0.19672386212148973,9213.14
Corporation,2020,2020-11-19,Rental,Mortgage Interest,CA,934636.65,197066.67,737569.98,0.3609653726069558,266237.22
Partnership,2021,2021-07-25,Royalties,Mortgage Interest,NC,913039.03,45124.4,867914.63,0.3187713060244225,276666.28
Partnership,2022,2022-04-25,Rental,Medical Expenses,NC,827274.36,92792.07,734482.29,0.1290567924506402,94789.93
Partnership,2023,2023-01-11,Investment,Mortgage Interest,FL,281198.32,20399.27,260799.05000000002,0.293239357714542,76476.55
Trust,2021,2021-02-24,Investment,Medical Expenses,NY,853953.27,114263.45,739689.8200000001,0.1340096319358952,99125.56
Corporation,2022,2022-04-06,Capital Gains,Business Expenses,OH,847483.94,14549.73,832934.21,0.2953698475158579,246023.65
Non-Profit,2019,2019-09-29,Royalties,Mortgage Interest,FL,416776.83,26893.49,389883.34,0.2909252125765507,113426.89
Corporation,2020,2020-01-27,Business Income,Charitable Contributions,OH,456988.78,2397.54,454591.24000000005,0.21591408245580523,98152.65
Corporation,2021,2021-05-21,Business Income,Education Expenses,MI,271311.55,27604.38,243707.16999999998,0.33074476211886106,80604.87
Non-Profit,2021,2021-04-11,Business Income,Education Expenses,GA,397090.7,99059.73,298030.97000000003,0.1890122124508662,56331.49
Partnership,2023,2023-05-21,Rental,Education Expenses,TX,397849.59,7922.73,389926.86000000004,0.2466309433576336,96168.03
Trust,2023,2023-04-25,Business Income,Education Expenses,IL,397892.06,41827.43,356064.63,0.20628791205443586,73451.83
Partnership,2021,2021-10-01,Capital Gains,Business Expenses,GA,406210.35,20427.3,385783.05,0.22545944388965589,86978.43
Non-Profit,2020,2020-10-04,Rental,Business Expenses,PA,864442.42,39609.4,824833.02,0.32397576940387685,267225.91
Non-Profit,2022,2022-01-15,Business Income,Education Expenses,FL,40828.78,11501.02,29327.76,0.30308813852283223,8888.9
Partnership,2021,2021-07-30,Rental,Medical Expenses,NC,124313.98,33905.32,90408.66,0.17613320562192797,15923.97
Partnership,2023,2023-09-21,Royalties,Medical Expenses,TX,632141.5,58365.18,573776.32,0.16996514177916971,97521.97
Non-Profit,2020,2020-11-10,Investment,Business Expenses,FL,975703.56,27552.96,948150.6000000001,0.25220734704687237,239130.55
Non-Profit,2019,2019-02-19,Business Income,Mortgage Interest,NC,986295.22,73961.79,912333.4299999999,0.18704313992976707,170645.71
Individual,2020,2020-12-19,Royalties,Business Expenses,MI,761948.57,135130.97,626817.6,0.14824227747149113,92920.87
Non-Profit,2020,2020-07-01,Salary,Business Expenses,IL,90848.28,2272.03,88576.25,0.3611199194098901,31986.65
Corporation,2019,2019-08-18,Investment,Charitable Contributions,CA,577531.14,74216.14,503315.0,0.14930457561908367,75147.23
Non-Profit,2022,2022-09-06,Royalties,Mortgage Interest,IL,913344.54,12625.2,900719.3400000001,0.17849075484292826,160770.07
Corporation,2023,2023-12-28,Business Income,Education Expenses,IL,161183.29,12537.5,148645.79,0.3404835651745701,50611.45
Corporation,2019,2019-08-22,Rental,Business Expenses,NC,154588.36,25610.26,128978.09999999999,0.34597026676610515,44622.59
Non-Profit,2019,2019-06-16,Royalties,Mortgage Interest,NC,767543.6,72127.28,695416.32,0.15630006683437708,108693.62
Partnership,2021,2021-09-07,Capital Gains,Education Expenses,IL,422727.9,23816.98,398910.92000000004,0.17114050584295495,68269.82
Corporation,2019,2019-03-21,Investment,Education Expenses,PA,35666.13,3831.02,31835.109999999997,0.33450169792431805,10648.9
Corporation,2021,2021-12-25,Salary,Education Expenses,PA,128066.78,29404.76,98662.02,0.2310978605321652,22800.58
Partnership,2021,2021-08-17,Rental,Business Expenses,FL,849915.47,96539.42,753376.0499999999,0.2075943659368733,156396.62
Corporation,2022,2022-01-09,Business Income,Mortgage Interest,PA,343213.91,49569.15,293644.75999999995,0.3279899024691952,96312.52
Partnership,2022,2022-11-20,Investment,Charitable Contributions,OH,208116.65,19482.88,188633.77,0.21331853909824927,40239.08
Corporation,2021,2021-09-26,Royalties,Education Expenses,OH,364684.2,28818.17,335866.03,0.3682584816050345,123685.51
Partnership,2022,2022-12-08,Capital Gains,Mortgage Interest,CA,696770.47,20960.02,675810.45,0.3127806551879128,211380.44
Non-Profit,2021,2021-05-25,Salary,Medical Expenses,TX,35716.57,7430.71,28285.86,0.10132309163956275,2866.01
Non-Profit,2020,2020-04-15,Salary,Charitable Contributions,TX,856466.58,112023.26,744443.32,0.3610844328698184,268806.89
Individual,2021,2021-09-28,Royalties,Medical Expenses,CA,409093.18,85593.7,323499.48,0.3024964176786049,97857.43
Corporation,2019,2019-09-16,Business Income,Charitable Contributions,FL,414158.27,121348.08,292810.19,0.2891266779934567,84659.24
Partnership,2021,2021-08-25,Rental,Charitable Contributions,FL,134230.22,10369.25,123860.97,0.21645128405602568,26809.87
Non-Profit,2019,2019-05-23,Salary,Mortgage Interest,TX,553212.3,155754.83,397457.4700000001,0.3062541142356198,121722.99
